ID_Curso,Titulo_Original,Carga_Horaria,Qtd_Quizzes,Qtd_Testes_Praticos,Possui_Legendas,Eh_Simulado
5180618,!Unreal Engine 5 دورة تطوير الالعاب المتكاملة باستخدام,12.38,0,0,True,False
1717020,¡Aprende el Italiano Ahora! Un curso fácil y completo.,5.05,0,0,True,False
1937476,¡Contar historias con datos!,2.45,4,0,True,False
2360128,¡Destruye la procrastinación!,6.0,0,0,True,False
3709202,¡El Curso Definitivo de ZOOM! ¡De básico a Experto!,3.83,1,0,True,False
3068554,¿Cómo elaborar un Flujo de Caja?,2.07,0,0,True,False
3401710,¿Cómo reducir el riesgo de un ciberataque? - Curso Ejecutivo,1.48,3,0,True,False
3064002,¿Cómo vender en Amazon con éxito? + Métricas Digitales,5.05,0,0,True,False
2785668,..عندك مشكلة في تعلم اللغة الإنجليزية هنا الحل,7.52,15,0,True,False
3988960,.NET (Visual Basic) programmieren - Einsteigerkurs,9.15,0,0,True,False
3821964,.NET / C# Interview Questions with Answers.,9.2,0,0,True,False
5442132,.NET / EF Core - 60+ Practical Interview Questions,2.65,0,0,True,False
6305371,.NET & React ile FullStack E-Ticaret Projesi Geliştirme 2026,17.42,0,0,False,False
876544,.NET 5 Web API & Entity Framework Crash Course,2.9,0,0,True,False
3797506,.Net 5.0 & Microservice Architecture Proje İnşa Etme,22.68,0,0,True,False
4356252,.NET 6 WEB API - Do zero ao avançado,14.3,0,0,True,False
1922984,.NET 7 Web API & Entity Framework Jumpstart,21.97,0,0,True,False
6083237,".NET 8 Backend Bootcamp: Modulith, VSA, DDD, CQRS and Outbox",24.7,4,0,True,False
6368869,.NET 8 Microservices with RabbitMQ and MassTransit,3.8200000000000003,0,0,True,False
3134552,".NET 8 Microservices: DDD, CQRS, Vertical/Clean Architecture",28.43,2,0,True,False
5915478,.NET 8 ve Angular 17 ile e-Appointment Uygulaması,7.55,0,0,True,False
5922230,.NET 8 ve Angular 17 ile ERP Uygulaması,10.52,0,0,True,False
5429022,".NET 8: Arquitectura, Seguridad, Monitoreo y Doc. de APIs",9.65,0,0,True,False
6448869,.NET Aspire and GenAI Develop Distributed Architectures,7.1,1,0,True,False
6581595,".NET Backend:  .NET Core, SQL Server y seguridad JWT",11.05,0,0,True,False
3601588,.Net C# Software Development 软件开发,6.07,0,0,False,False
2574858,.NET Core 3.0 & C# 7 Backend Frontend Geliştirici Kursu - 1,5.28,0,0,True,False
2584122,.NET Core 3.0 & C# 7 Backend Frontend Geliştirici Kursu - 2,2.4,0,0,True,False
2596618,.NET Core 3.0 & C# 7 Backend Frontend Geliştirici Kursu - 3,1.88,0,0,True,False
2664556,.NET Core 3.0 & C# 7 Backend Frontend Geliştirici Kursu - 4,1.47,0,0,True,False
3194272,".Net Core Asenkron- Multithread Programlama (TASK,TPL,PLINQ)",7.42,0,0,True,False
2795210,.NET Core C# EF y MVC: Crea una WebApp completa desde cero,15.0,0,0,True,False
2965230,.Net Core Developer - Bilinmesi Gereken Kütüphaneler,15.77,0,0,True,False
4062064,.NET Core Microservices - The Complete Guide [2025],14.15,0,0,True,False
4108128,.NET Core Microservices - Полное руководство.,10.73,0,0,False,False
1844356,.NET Core MVC - The Complete Guide 2025 [E-commerce],16.72,0,0,True,False
4701406,.NET Core: um curso orientado para o mercado de trabalho,43.35,0,0,True,False
5546478,".Net Core(API/MVC) ile Observability(Trace,Log ve Metric)",15.05,0,0,True,False
4162902,.Net ile Microservice Design Patterns,12.83,0,0,True,False
3934228,.Net ile Microservices ( .Net 9 ),72.05,0,0,False,False
5326196,".NET MAUI - Crie Apps para Android, iOS, Mac e Windows",65.95,0,0,True,False
5069268,.NET MAUI - Desenvolvendo um App de Controle Financeiro,11.05,0,0,True,False
5716958,.NET MAUI : Développez vos applications avec C# !,16.75,2,0,True,False
4685478,.NET MAUI course with Visual Studio 2022 creating PROJECTS,22.2,0,0,True,False
6120393,.NET MAUI Essencial,18.77,0,0,True,False
4696370,.NET MAUI Mobile App Development,8.52,0,0,True,False
6171063,.NET Microservices with Azure DevOps & AKS | Basic to Master,44.85,2,2,True,False
3730502,.NET Microservices: CQRS & Event Sourcing with Kafka,8.5,16,0,True,False
1249054,.Net 速成-掌握 ASP.NET MVC 核心技术【.NET 10】【C# 14】【2026】,6.05,0,0,True,False
4470330,""" Arabic"" Mastering Method Validation & Uncertainty",7.2,0,0,True,False
4441246,""" MPO ""  حقق أهدافك من خلال معادلة ال",3.5,0,0,True,False
2103948,"""Another"" 20 Life Hacks to Inspire You to Excel in Life",1.8,0,0,True,False
1500208,"""Another"" 40 Tips on Making a Great Online Course",3.75,0,0,True,False
4749694,"""Best Practices"" for Cybersecurity & GRC Professionals",9.45,0,0,True,False
5595786,"""Cash Conversion Cycle"" for Cash Flow Management",1.23,1,1,True,False
3552979,"""Curso Completo de CorelDRAW: Do Iniciante ao Avançado""",28.35,0,0,True,False
651206,"""isiXhosa for Beginners"" South African Language",10.0,30,2,True,False
3743732,"""Learning Analytics"" for L&D Professionals (Accredited)",4.95,0,0,True,False
4876792,“四有”目标制定法,1.92,0,0,False,False
4295802,“自供血”增长模式案例分析,1.27,0,0,False,False
2039352,(  Learn Autocad 2019 )اتعلم اوتوكاد 2019,6.82,0,0,True,False
1842408,((OTRS)) Community 6 - Monte uma central de serviços de TI,6.98,2,0,True,False
2496622,"(100+ Saat) Aranan Programcı Olma Kamp Kursu| Python,Java,C#",104.43,0,0,True,False
2507804,(120+Saat)Komple Uygulamalı Web Geliştirme Eğitimi | .NET,122.92,0,0,True,False
5200718,(2025) Angular i Java Spring Od zera do Fullstack developera,44.85,0,0,False,False
5421560,"(2026) Quarkus for beginners, everything you need to know.",2.9,0,0,True,False
3309230,(25+Saat) C |Sıfırdan İleri Seviyeye Uygulamalı Programlama,25.45,9,0,True,False
3662542,(35+Saat) Python | Sıfırdan Zirveye Programlama (2024),35.57,0,0,True,False
1235124,(40+ Saat) Python | Sıfırdan İleri Seviye Programlama (2020),41.78,12,0,True,False
1421116,(42 Saat) Sıfırdan Komple Java Geliştirici Kursu,40.82,0,0,True,False
3798304,(50+ Saat) Sıfırdan İleri Seviyeye Python Programlama,51.2,119,0,True,False
5971602,(A1.1)تعلم الألمانية من الصفر المستوى الاول,7.68,4,0,True,False
6012524,(A1.2)تعلم الألمانية من الصفر المستوى الثاني,8.57,0,0,True,False
4127022,(CBSCP) أخصائي بطاقة الأداء المتوازن المعتمد,8.82,4,0,False,False
6231601,(CDAP) أخصائي تحليل البيانات المعتمد,8.2,5,0,True,False
3582109,(CKPIP) أخصائي مؤشرات الأداء المعتمد,10.5,7,0,False,False
4353364,(COKRP) أخصائي الأهداف والنتائج الرئيسية المعتمد,8.9,4,0,False,False
2503914,(Core) 4hr FAA Part 107 Knowledge Test Prep for Drone Pilots,4.2,25,1,True,False
3729214,(CPMP) أخصائي إدارة الأداء المعتمد,7.88,4,0,False,False
3725736,(CSP) أخصائي الاستراتيجية المعتمد,7.97,4,0,False,False
6316167,(Golang) Go Projects for Non-Go Engineers: With AI Assistant,13.2,0,0,True,False
2355710,(How to Get) Your Best English Fast!,1.48,2,0,True,False
1992186,"(Jetpack, Architecture & More)Advanced Android Bootcamp",37.03,0,0,True,False
5945094,(Ken Cen出品)Generative AI第一部 - 從LangChain接入ChatGPT到製作股票分析AI團隊,8.68,0,0,True,False
5975722,(Ken Cen出品)Generative AI第二部 - 人機對話大師：打造流暢AI互動系統，實現無縫交流,7.52,0,0,True,False
1041378,(Ken Cen出品)SWIFT3入門篇-蘋果手機開發語言SWIFT3課程,19.23,0,0,True,False
865272,"(Ken Cen出品)建網百科全書-使用 HTML,CSS,JS, jQuery,php,mySQL 建立網站",64.55,1,0,True,False
1159156,"(Ken Cen出品)建網進階篇-製作您自己的WordPress主題使用HTML,CSS,php,Bootstrap",14.48,0,0,True,False
1655056,(Ken Cen出品)從零開始學Machine Learning第一部 - 線型回歸，分類與聚類,45.15,0,0,True,False
2602894,(Ken Cen出品)從零開始學Machine Learning第二部 -深度學習DL篇,8.02,0,0,True,False
1256082,(Ken Cen出品)深入淺出了解Javascript,10.6,0,0,True,False
1257218,(Ken Cen出品)粵語版-深入淺出了解Javascript,9.93,0,0,True,False
1335656,(Ken Cen出品)蘋果手機編程(V2.0) - 使用IOS12 & Swift4 - 編寫19個真實程式,36.38,0,0,True,False
5456238,(Ken Cen出品)邊做邊學 - 製作ChatGPT網頁APP,11.95,0,0,True,False
5917858,"(Ken Cen出品)部署Machine Learning模型-使用Python,FastAPI,Docker, EC2",7.98,0,0,True,False
2356284,(Legacy)  React JS Bahasa Indonesia [Bonus React Bootstrap],2.7800000000000002,0,0,True,False
3779440,(Looker Studio) Google Data Studio - Le Guide Complet 2023,2.65,0,0,True,False
4032430,(MASTER) - A'dan Z'ye HİSSE/FON YATIRIMI UYGULAMASI,1.98,0,0,True,False
649056,(NEW) The Complete Growth Hacking & Conversion Course,7.07,0,0,True,False
5589298,(PMI-PgMP - 5th Edition) Mock Exams 2026 (590 Questions),0.0,6,6,False,True
2971654,(PMO) خطوة بخطوة نحو مكتب إدارة المشروعات,11.08,0,0,True,False
4411564,(Sıfırdan) Sistematik Almanca Kursu (A1-B1),35.63,8,0,True,False
3255434,(Unity & C#) 2025 تعلم صنع الألعاب مع يونيتي وسي شارب,7.8,0,0,True,False
3934652,(مايكروسوفت إكسل المستوى الأول (مبتدئين,8.28,6,0,True,False
5849432,[2024] Mastering Data Modeling: Concept to Implementation,5.2,0,0,True,False
5513664,[2025] AWS Cloud Practitioner CLF-C02: Course & 2 Exams,15.52,19,2,True,False
5144242,[2025] DevOps - Introduction et prise en main de Kubernetes,5.2,6,0,True,False
5492462,"[2025] Facebook & Instagram Mobil Uygulama Marketing, Growth",6.3,0,0,True,False
1312914,[2025] GNU/Linux de débutant à confirmé en quelques heures,8.43,0,0,True,False
2574070,[2025] Scrum Master: Simulador de Examen de Certificación,0.0,6,6,False,True
5773024,[2025] SnowPro Advanced Architect COURSE,7.63,21,1,True,False
4613516,[2026] Bootcamp de Blockchain y Web3 (en Español),42.07,8,1,True,False
2755534,[2026] Bootstrap Od Podstaw - Stwórz 4 Wyjątkowe strony WWW!,6.17,2,0,False,False
5620756,[2026] Complete AWS Bedrock Generative AI Course + Projects,4.95,0,0,True,False
6518325,[2026] Exámenes de práctica AWS Certified CloudOps Engineer,0.0,6,6,False,True
6302695,[2026] Introducción a AWS para principiantes,3.93,7,1,False,False
6295541,[2026] Introducción a Microsoft Azure para principiantes,2.63,5,1,False,False
3615924,[2026] Java od Zera do Mastera - twórz własne apki - 87h,88.97,0,0,False,False
3532134,[2026] Kurs FullStack WebDeveloper od Podstaw do Mastera 73h,70.63,50,0,False,False
3801036,[2026] Kurs Python 3 od Podstaw do Mastera - 72h!,71.98,60,0,False,False
2355682,"[2026] Kurs Tworzenia Stron WWW cz. I - HTML, CSS, RWD",9.78,11,0,False,False
6719942,[2026] Microsoft Azure Administrator Associate (AZ-104),13.82,16,1,True,False
3616902,[2026] Programowanie w JavaScript od Zera do Mastera - 70h,73.23,0,0,False,False
4504998,[2026] Vanilla JavaScript od podstaw - stwórz 15 projektów!,38.82,0,0,False,False
5254946,"[3-in-1] Data Viz Bundle: Tableau, Excel & Looker Studio",18.05,16,0,True,False
5651172,[A-Z] Web Otomasyon Testi Öğrenin! (Java/Selenium/Cucumber),15.13,8,0,True,False
2849230,[Accredited] Dialectical Behavioral Therapy (DBT) Counselor,10.52,0,0,True,False
1588090,[Active Directory] Management using Windows PowerShell,3.7199999999999998,0,0,True,False
5285628,[AR] Flutter & Firebase: Build E-commerce & Admin App [2024],12.15,0,0,True,False
3839806,[ATUALIZADO 2023] Microsoft Azure AZ-900 - Simulados INGLÊS,0.0,6,6,False,True
6278743,[AWS Certified AI Practitioner] - Simulado Comentado,2.0,1,1,True,False
4651898,[BI-ETL]: Mini projet pratique sur Talend DI en Français,19.57,0,0,True,False
3573825,[COF-C02] Snowflake SnowPro Core Certification Practice Sets,0.0,6,6,False,True
5384166,[Công ty Nhật Bản làm]“IT Passport (Hộ chiếu CNTT)”!,10.52,0,0,True,False
6588621,[ES] Bootcamp Agentes IA: Crea Chatbots Inteligentes,2.68,0,0,True,False
6587237,[ES] Bootcamp de IA Práctica y Certificación en 7 Días,4.03,0,0,True,False
6613559,[ES] Ciberseguridad 101: Fundamentos para Principiantes,3.75,0,0,True,False
6608623,[ES] Desarrollo IA y Python: Megaclase con 300+ Proyectos,63.02,0,0,True,False
6597337,"[ES] Dominio de Python: 100 Días, 100 Proyectos",29.8,0,0,True,False
6472381,[ESP] AWS Certified AI Practitioner AIF-C01,9.55,6,1,True,False
